review_id,k,scale,theta,tau2,conformal_lo,conformal_hi,conformal_width,standard_lo,standard_hi,standard_width,hksj_lo,hksj_hi,hksj_width,cov_conformal,cov_standard,cov_hksj,width_ratio_conf_std,width_ratio_conf_hksj,conformal_wider
CD009235,31,ratio,-0.0647,0,-0.9554,0.826,1.7814,-0.2053,0.0759,0.2813,-0.2003,0.0709,0.2711,0.71,0.194,0.194,6.333,6.57,True
CD009252,14,ratio,0.1694,0.1747,-2.2872,2.626,4.9131,-0.8341,1.1729,2.007,-0.8296,1.1684,1.998,1.0,0.714,0.714,2.448,2.459,True
CD009298,11,ratio,-0.0633,0.0046,-0.934,0.8073,1.7413,-0.2753,0.1487,0.424,-0.2729,0.1462,0.4191,1.0,0.545,0.545,4.107,4.155,True
CD009362,27,ratio,-0.9545,0.0607,-4.0023,2.0933,6.0957,-1.5796,-0.3294,1.2503,-1.5786,-0.3304,1.2482,1.0,0.333,0.333,4.875,4.883,True
CD009417,5,ratio,0.1087,0.0438,-2.2677,2.4851,4.7527,-0.7276,0.945,1.6726,-0.5883,0.8057,1.3939,1.0,1.0,1.0,2.842,3.41,True
CD009508,10,ratio,0.8005,0.5647,-1.7376,3.3385,5.0761,-1.1107,2.7116,3.8223,-1.146,2.7469,3.8929,0.9,0.7,0.7,1.328,1.304,True
CD009531,8,ratio,0.1872,0,-0.3501,0.7244,1.0745,-0.1179,0.4922,0.6101,0.0222,0.3521,0.3299,1.0,0.75,0.375,1.761,3.257,True
CD009535,9,ratio,-0.2262,0.0466,-1.2446,0.7923,2.0369,-0.7771,0.3247,1.1018,-0.7601,0.3077,1.0679,0.889,0.889,0.889,1.849,1.907,True
CD009609,8,ratio,-0.5905,0.0877,-2.0558,0.8749,2.9306,-1.4392,0.2583,1.6975,-1.4506,0.2697,1.7203,0.75,0.625,0.625,1.726,1.704,True
CD009679,24,ratio,-0.0291,0.4996,-8.5071,8.4488,16.9559,-1.5825,1.5242,3.1067,-1.5663,1.508,3.0743,1.0,0.75,0.75,5.458,5.515,True
CD009730,10,ratio,-0.0391,0.1151,-3.4898,3.4116,6.9014,-1.1898,1.1115,2.3013,-1.1616,1.0833,2.2449,1.0,0.6,0.6,2.999,3.074,True
