review_id,k,scale,theta,tau2,conformal_lo,conformal_hi,conformal_width,standard_lo,standard_hi,standard_width,hksj_lo,hksj_hi,hksj_width,cov_conformal,cov_standard,cov_hksj,width_ratio_conf_std,width_ratio_conf_hksj,conformal_wider
CD013278,12,ratio,0.1834,0,-0.6662,1.033,1.6992,-0.0749,0.4417,0.5166,-0.0489,0.4158,0.4647,0.833,0.333,0.333,3.289,3.656,True
CD013295,66,ratio,-0.3585,0.206,-1.9606,1.2436,3.2043,-1.2825,0.5655,1.8481,-1.2844,0.5674,1.8518,0.909,0.667,0.667,1.734,1.73,True
CD013332,10,ratio,-0.4722,0.0966,-1.9456,1.0013,2.9469,-1.2707,0.3263,1.597,-1.2433,0.299,1.5423,1.0,0.9,0.9,1.845,1.911,True
CD013342,8,ratio,0.3506,0.0826,-0.9747,1.6759,2.6505,-0.4614,1.1627,1.6241,-0.4415,1.1427,1.5841,0.875,0.625,0.625,1.632,1.673,True
CD013344,6,ratio,0.5704,0,-0.9189,2.0597,2.9786,-0.4836,1.6244,2.108,-0.2179,1.3587,1.5766,0.833,0.667,0.667,1.413,1.889,True
CD013353,6,difference,-2.1839,2.4296,-11.2527,6.8849,18.1376,-6.9879,2.6202,9.608,-6.5141,2.1464,8.6605,1.0,1.0,1.0,1.888,2.094,True
CD013358,6,ratio,0.368,0.4363,-1.9645,2.7005,4.665,-1.6622,2.3982,4.0604,-1.5155,2.2515,3.767,1.0,1.0,1.0,1.149,1.238,True
CD013366,7,ratio,-0.1701,0.0081,-1.6555,1.3154,2.971,-0.8264,0.4863,1.3128,-0.7965,0.4564,1.2529,1.0,0.429,0.429,2.263,2.371,True
CD013396,16,ratio,-0.1489,0.2353,-2.5062,2.2084,4.7146,-1.2871,0.9894,2.2765,-1.2809,0.9831,2.264,0.938,0.625,0.625,2.071,2.082,True
CD013408,5,ratio,-0.4448,0.0483,-1.4407,0.5511,1.9918,-1.3251,0.4355,1.7606,-1.2164,0.3268,1.5431,1.0,1.0,1.0,1.131,1.291,True
CD013414,15,ratio,0.6069,0.1791,-2.5491,3.7628,6.3118,-0.3742,1.5879,1.9621,-0.3491,1.5628,1.9119,1.0,0.933,0.867,3.217,3.301,True
CD013421,15,ratio,-0.7669,0.1345,-1.7784,0.2447,2.0231,-1.612,0.0783,1.6903,-1.6188,0.0851,1.7039,0.733,0.733,0.733,1.197,1.187,True
CD013425,21,ratio,0.6876,0,-0.5671,1.9423,2.5094,0.4546,0.9206,0.466,0.5069,0.8683,0.3614,0.857,0.286,0.143,5.385,6.944,True
CD013445,39,ratio,0.1118,0.0068,-0.2288,0.4524,0.6812,-0.0604,0.284,0.3444,-0.0624,0.286,0.3483,0.923,0.692,0.692,1.978,1.955,True
CD013456,12,ratio,0.3555,0.0369,-1.2005,1.9115,3.112,-0.1722,0.8831,1.0552,-0.1704,0.8813,1.0517,0.917,0.75,0.75,2.949,2.959,True
CD013462,17,ratio,0.299,0.7111,-1.8949,2.493,4.3879,-1.6029,2.2009,3.8038,-1.6017,2.1997,3.8014,0.882,0.824,0.824,1.154,1.154,True
CD013474,6,ratio,-0.0732,0.0504,-1.4405,1.2941,2.7347,-0.7947,0.6483,1.4431,-0.7434,0.597,1.3403,1.0,0.833,0.833,1.895,2.04,True
CD013539,29,ratio,0.0021,0,-1.2944,1.2985,2.5929,-0.124,0.1281,0.2521,-0.1168,0.121,0.2378,0.931,0.241,0.241,10.287,10.904,True
CD013541,8,ratio,-0.1637,0,-1.2015,0.8741,2.0756,-0.6838,0.3564,1.0402,-0.5032,0.1759,0.6791,1.0,0.5,0.5,1.995,3.056,True
CD013561,5,ratio,0.2108,0.1155,-0.8444,1.266,2.1104,-1.1391,1.5607,2.6998,-0.9887,1.4103,2.399,0.8,1.0,0.8,0.782,0.88,False
CD013590,5,ratio,0.4638,0,-2.4762,3.4038,5.88,-0.5649,1.4925,2.0574,-0.2954,1.2229,1.5183,1.0,0.8,0.6,2.858,3.873,True
CD013591,13,difference,5.4592,15.7784,-464.2797,475.198,939.4777,-4.182,15.1003,19.2823,-5.6301,16.5484,22.1785,0.923,0.385,0.385,48.722,42.36,True
CD013614,15,ratio,1.0759,0.1341,0.3155,1.8362,1.5208,0.2457,1.906,1.6603,0.2506,1.9011,1.6505,0.933,0.933,0.933,0.916,0.921,False
CD013643,6,ratio,1.3222,0.5311,-1.6219,4.2662,5.8881,-1.0521,3.6965,4.7486,-0.8859,3.5302,4.4161,1.0,0.833,0.833,1.24,1.333,True
CD013672,7,ratio,0.1359,0.0265,-0.605,0.8768,1.4818,-0.3299,0.6018,0.9317,-0.3114,0.5833,0.8947,1.0,1.0,1.0,1.59,1.656,True
CD013715,7,ratio,0.5389,0.126,-1.5514,2.6292,4.1807,-0.5019,1.5798,2.0817,-0.4484,1.5262,1.9745,1.0,0.857,0.857,2.008,2.117,True
CD013726,12,ratio,-0.1767,0.5466,-3.8757,3.5223,7.398,-1.9376,1.5841,3.5217,-1.9425,1.5891,3.5316,1.0,0.75,0.75,2.101,2.095,True
CD013748,8,ratio,-0.2621,0,-0.8933,0.369,1.2623,-0.5725,0.0482,0.6207,-0.5082,-0.0161,0.492,0.875,0.875,0.5,2.034,2.566,True
CD013757,6,ratio,-0.7176,0.178,-2.7177,1.2824,4.0001,-2.1196,0.6843,2.8039,-2.133,0.6977,2.8308,0.833,0.667,0.667,1.427,1.413,True
CD013763,21,ratio,-0.7568,0.0459,-1.9787,0.4652,2.4439,-1.2777,-0.2358,1.0419,-1.2742,-0.2394,1.0348,0.952,0.381,0.381,2.346,2.362,True
CD013773,7,ratio,-0.1956,0,-0.3656,-0.0257,0.3399,-0.3619,-0.0294,0.3326,-0.2675,-0.1238,0.1438,0.714,0.714,0.714,1.022,2.364,True
CD013781,14,ratio,-0.4986,0.02,-2.9055,1.9084,4.814,-0.9972,0.0001,0.9974,-0.9901,-0.0071,0.983,1.0,0.143,0.143,4.827,4.897,True
CD013789,38,difference,-0.0884,0.0837,-2.2656,2.0888,4.3545,-0.6973,0.5206,1.2179,-0.7031,0.5263,1.2294,0.974,0.711,0.711,3.575,3.542,True
CD013800,48,ratio,-0.1472,0.107,-1.0534,0.7589,1.8124,-0.8152,0.5207,1.336,-0.8156,0.5211,1.3366,0.979,0.875,0.875,1.357,1.356,True
CD013821,22,ratio,-0.2212,0.2492,-1.2614,0.819,2.0804,-1.2946,0.8522,2.1468,-1.2838,0.8414,2.1252,0.909,0.909,0.909,0.969,0.979,False
CD013822,15,ratio,0.3589,0.0291,-1.1189,1.8366,2.9555,-0.0288,0.7466,0.7754,-0.1226,0.8403,0.9629,1.0,0.6,0.667,3.811,3.069,True
CD013827,14,ratio,-0.2233,0.0834,-1.6015,1.155,2.7566,-0.996,0.5495,1.5456,-0.9869,0.5404,1.5273,0.929,0.5,0.5,1.784,1.805,True
CD013830,7,ratio,-0.33,0,-3.7814,3.1213,6.9027,-0.7807,0.1206,0.9014,-0.6448,-0.0153,0.6296,1.0,0.429,0.143,7.658,10.965,True
CD013834,8,difference,0.0319,0.2173,-1.4999,1.5636,3.0635,-1.2221,1.2859,2.508,-1.1734,1.2371,2.4105,1.0,1.0,1.0,1.221,1.271,True
CD013844,9,ratio,0.3658,0,-1.6168,2.3483,3.9651,-0.2612,0.9927,1.2539,-0.2181,0.9497,1.1678,1.0,0.444,0.444,3.162,3.395,True
CD013875,9,ratio,0.7962,0.0833,-0.3804,1.9727,2.353,-0.0316,1.6239,1.6555,-0.0091,1.6014,1.6105,1.0,0.889,0.889,1.421,1.461,True
CD014040,14,ratio,0.1242,0.0135,-0.2352,0.4836,0.7188,-0.1429,0.3914,0.5343,-0.1465,0.3949,0.5414,0.857,0.786,0.786,1.345,1.328,True
CD014089,6,ratio,0.4518,0,-0.3585,1.2621,1.6206,-0.1352,1.0388,1.174,-0.0043,0.9079,0.9121,0.667,0.667,0.667,1.38,1.777,True
CD014145,6,ratio,-0.3455,0.2127,-2.3229,1.6318,3.9547,-2.0387,1.3476,3.3863,-1.9144,1.2233,3.1377,0.833,0.833,0.833,1.168,1.26,True
CD014300,9,ratio,-0.0843,0.2909,-2.3509,2.1822,4.5332,-1.4661,1.2974,2.7634,-1.4535,1.2848,2.7384,1.0,0.778,0.778,1.64,1.655,True
CD014428,6,difference,-13.8595,36.1601,-34.9806,7.2617,42.2423,-32.4144,4.6955,37.11,-31.4161,3.6971,35.1132,1.0,1.0,1.0,1.138,1.203,True
CD014541,5,ratio,0.7116,0.0377,-0.3445,1.7677,2.1122,-0.1365,1.5597,1.6962,-0.0144,1.4375,1.4519,1.0,1.0,1.0,1.245,1.455,True
CD014544,12,ratio,-0.0016,0.0768,-2.1588,2.1555,4.3143,-0.7282,0.725,1.4532,-0.7424,0.7392,1.4816,0.833,0.667,0.667,2.969,2.912,True
CD014585,12,ratio,-0.0548,0.0188,-0.8111,0.7014,1.5124,-0.3904,0.2807,0.6711,-0.4051,0.2955,0.7006,0.833,0.583,0.583,2.254,2.159,True
CD014594,7,ratio,1.2091,0.0918,0.2495,2.1687,1.9192,0.3475,2.0707,1.7233,0.397,2.0212,1.6243,1.0,1.0,1.0,1.114,1.182,True
CD014624,38,ratio,0.164,0.0025,-0.745,1.0731,1.8181,0.0337,0.2944,0.2606,0.0339,0.2941,0.2602,0.868,0.342,0.342,6.975,6.988,True
CD014666,6,ratio,-0.0429,0.1265,-1.1674,1.0816,2.249,-1.1598,1.074,2.2338,-1.1991,1.1132,2.3123,0.833,0.833,0.833,1.007,0.973,True
CD014678,10,ratio,-0.1741,0.0094,-0.9131,0.5649,1.4779,-0.455,0.1068,0.5618,-0.4506,0.1025,0.5531,0.9,0.7,0.7,2.631,2.672,True
CD014713,5,ratio,-0.0066,0.068,-0.791,0.7778,1.5688,-1.0111,0.998,2.0091,-0.9609,0.9478,1.9087,0.8,0.8,0.8,0.781,0.822,False
CD014722,6,ratio,-0.4306,0.0225,-1.3313,0.4702,1.8015,-0.9862,0.125,1.1112,-0.9352,0.074,1.0092,1.0,1.0,1.0,1.621,1.785,True
CD014741,13,ratio,0.1146,0.01,-0.2824,0.5116,0.794,-0.1306,0.3598,0.4904,-0.1322,0.3614,0.4936,0.615,0.615,0.615,1.619,1.609,True
CD014758,22,difference,0.1776,0.0116,-0.3599,0.7152,1.0751,-0.0569,0.4121,0.469,-0.0602,0.4155,0.4757,0.955,0.773,0.773,2.292,2.26,True
CD014762,7,ratio,0.0794,0.0258,-0.5639,0.7226,1.2865,-0.413,0.5718,0.9848,-0.4085,0.5672,0.9757,0.571,0.571,0.429,1.306,1.319,True
CD014763,9,ratio,-1.8007,0,-3.6868,0.0853,3.772,-2.4736,-1.1279,1.3457,-2.4228,-1.1787,1.2441,1.0,0.667,0.667,2.803,3.032,True
CD014769,27,ratio,-0.1468,0.0053,-1.1718,0.8783,2.0501,-0.3493,0.0558,0.4051,-0.3482,0.0546,0.4027,0.926,0.296,0.296,5.061,5.09,True
CD014792,11,ratio,-0.4023,0,-1.7835,0.9788,2.7623,-1.0405,0.2358,1.2763,-0.7625,-0.0421,0.7205,0.909,0.727,0.545,2.164,3.834,True
CD014803,5,ratio,-0.0662,0,-1.6069,1.4745,3.0814,-1.2155,1.0831,2.2986,-0.9534,0.821,1.7744,1.0,0.8,0.8,1.341,1.737,True
CD014820,17,ratio,-0.0282,0.0106,-0.9127,0.8563,1.769,-0.287,0.2305,0.5175,-0.288,0.2316,0.5196,0.882,0.529,0.529,3.418,3.404,True
CD014833,5,ratio,0.225,0.0399,-0.7363,1.1864,1.9227,-0.5218,0.9719,1.4937,-0.4716,0.9217,1.3933,1.0,0.8,0.8,1.287,1.38,True
CD014844,6,ratio,-0.2497,0.1509,-2.3579,1.8586,4.2165,-1.5315,1.0321,2.5636,-1.4073,0.908,2.3153,1.0,0.833,0.833,1.645,1.821,True
CD014845,20,difference,-0.0593,0.0004,-0.3417,0.2231,0.5648,-0.1089,-0.0096,0.0993,-0.1091,-0.0094,0.0997,0.95,0.35,0.35,5.688,5.663,True
CD014855,7,ratio,0.0738,0.3961,-3.2042,3.3518,6.556,-1.7695,1.917,3.6864,-1.6515,1.799,3.4505,1.0,0.857,0.857,1.778,1.9,True
CD014869,8,ratio,-0.0137,0.0027,-0.39,0.3627,0.7527,-0.1654,0.1381,0.3035,-0.1739,0.1466,0.3205,0.875,0.625,0.75,2.48,2.349,True
CD014871,8,difference,0.1317,0.0072,-0.0787,0.342,0.4207,-0.099,0.3623,0.4613,-0.0911,0.3544,0.4455,1.0,1.0,1.0,0.912,0.944,False
CD014872,13,ratio,1.1036,0.0816,-0.4041,2.6113,3.0153,0.4126,1.7945,1.3819,0.4257,1.7815,1.3557,1.0,0.846,0.846,2.182,2.224,True
CD014889,5,ratio,-0.7803,0,-1.7195,0.1589,1.8784,-1.6287,0.0682,1.6969,-1.3699,-0.1906,1.1793,1.0,1.0,0.4,1.107,1.593,True
CD014914,16,ratio,0.2892,0.0292,-0.3994,0.9777,1.3772,-0.1108,0.6891,0.7999,-0.1115,0.6899,0.8014,0.812,0.688,0.688,1.722,1.718,True
CD014932,7,difference,-1.082,1.9648,-7.0388,4.8747,11.9135,-5.0764,2.9124,7.9888,-5.0365,2.8725,7.909,1.0,0.857,0.857,1.491,1.506,True
CD014937,66,ratio,-0.2594,0.0991,-1.2544,0.7356,1.9899,-0.9002,0.3814,1.2815,-0.9079,0.3891,1.297,0.712,0.545,0.545,1.553,1.534,True
CD014959,5,ratio,-0.5553,0.4749,-2.4728,1.3623,3.8351,-3.0838,1.9733,5.057,-2.9406,1.8301,4.7708,0.8,1.0,0.8,0.758,0.804,False
CD014964,54,ratio,0.3172,0.0461,-0.4074,1.0419,1.4493,-0.1202,0.7547,0.8749,-0.1221,0.7566,0.8787,0.926,0.815,0.815,1.657,1.649,True
CD014965,8,ratio,1.2666,0,-0.1263,2.6596,2.7859,0.607,1.9262,1.3191,0.7946,1.7386,0.944,0.875,0.625,0.625,2.112,2.951,True
CD014966,28,ratio,-0.0895,0.0386,-1.07,0.8909,1.9609,-0.5053,0.3262,0.8316,-0.5176,0.3385,0.8561,0.893,0.643,0.643,2.358,2.291,True
CD014967,5,ratio,0.3607,0,-0.8169,1.5382,2.3551,-0.5525,1.2738,1.8263,-0.3968,1.1181,1.5149,0.8,0.6,0.6,1.29,1.555,True
CD015003,10,ratio,0.7143,0.2923,-1.9633,3.3919,5.3552,-0.7497,2.1782,2.9279,-0.7212,2.1497,2.8709,1.0,0.7,0.7,1.829,1.865,True
CD015014,24,ratio,0.0342,0,-0.7414,0.8097,1.5511,-0.0858,0.1542,0.24,-0.068,0.1364,0.2044,0.833,0.333,0.333,6.463,7.588,True
CD015038,9,ratio,-1.3964,0.3964,-4.9325,2.1396,7.0721,-3.3242,0.5314,3.8556,-3.2581,0.4653,3.7234,1.0,0.778,0.778,1.834,1.899,True
CD015040,7,difference,-0.4327,0.2603,-2.2407,1.3752,3.6159,-1.9059,1.0405,2.9464,-1.8136,0.9482,2.7618,1.0,1.0,1.0,1.227,1.309,True
CD015042,7,ratio,-0.0202,0,-0.119,0.0787,0.1976,-0.0754,0.0351,0.1105,-0.0519,0.0116,0.0635,1.0,0.857,0.429,1.789,3.111,True
CD015083,67,difference,-0.1358,0.0303,-0.7879,0.5163,1.3042,-0.4883,0.2167,0.7051,-0.4904,0.2188,0.7092,0.955,0.791,0.791,1.85,1.839,True
CD015087,7,ratio,-0.3686,0.0917,-2.1736,1.4363,3.6099,-1.3069,0.5696,1.8765,-1.2778,0.5406,1.8184,1.0,0.857,0.857,1.924,1.985,True
CD015120,5,ratio,-0.0923,0,-1.365,1.1805,2.5455,-1.2416,1.0571,2.2987,-0.7799,0.5954,1.3753,0.8,0.8,0.6,1.107,1.851,True
CD015122,9,ratio,-0.7887,0.1527,-2.2218,0.6444,2.8662,-1.8971,0.3196,2.2167,-1.8644,0.287,2.1514,1.0,1.0,1.0,1.293,1.332,True
CD015124,8,ratio,-0.7514,0,-1.3843,-0.1184,1.2658,-1.0782,-0.4245,0.6537,-1.0277,-0.475,0.5528,1.0,0.75,0.625,1.936,2.29,True
CD015134,6,ratio,0.1504,0.0067,-0.8353,1.136,1.9713,-0.1693,0.47,0.6394,-0.1396,0.4403,0.5798,0.833,0.667,0.667,3.083,3.4,True
CD015140,5,ratio,-0.0917,0.0904,-1.4223,1.2389,2.6611,-1.2264,1.043,2.2693,-1.1059,0.9225,2.0284,1.0,1.0,1.0,1.173,1.312,True
CD015192,6,ratio,0.1939,0.3275,-1.9366,2.3244,4.261,-1.9056,2.2934,4.1991,-1.7512,2.139,3.8902,1.0,1.0,0.833,1.015,1.095,True
CD015213,12,ratio,-1.4942,0,-5.2615,2.2731,7.5346,-2.2933,-0.6951,1.5982,-2.1766,-0.8118,1.3648,1.0,0.667,0.667,4.714,5.521,True
CD015219,18,ratio,0.2382,0.0844,-0.7445,1.2208,1.9653,-0.4106,0.887,1.2975,-0.4175,0.8939,1.3114,0.889,0.833,0.833,1.515,1.499,True
CD015229,9,difference,-66.5402,133.9189,-131.1744,-1.9061,129.2683,-98.56,-34.5204,64.0396,-97.7527,-35.3278,62.4248,1.0,0.667,0.667,2.019,2.071,True
CD015252,7,ratio,-0.121,0,-0.7547,0.5127,1.2675,-0.2407,-0.0013,0.2394,-0.2086,-0.0335,0.1751,1.0,0.429,0.286,5.294,7.239,True
CD015254,10,ratio,-0.1347,0.0129,-0.4504,0.181,0.6314,-0.4194,0.1499,0.5693,-0.4266,0.1572,0.5838,0.8,0.8,0.8,1.109,1.081,True
CD015255,7,ratio,-0.2971,0.0806,-1.0564,0.4621,1.5184,-1.1016,0.5073,1.6089,-1.0741,0.4798,1.5539,1.0,1.0,1.0,0.944,0.977,False
CD015284,5,ratio,0.5278,0.1602,-1.6002,2.6557,4.2558,-0.9345,1.9901,2.9246,-0.7045,1.76,2.4645,1.0,1.0,1.0,1.455,1.727,True
CD015314,21,ratio,0.5635,0.1108,-0.5241,1.6511,2.1752,-0.1652,1.2922,1.4574,-0.1675,1.2946,1.4621,0.905,0.81,0.81,1.493,1.488,True
CD015326,16,difference,-0.0719,0.0009,-0.3006,0.1567,0.4573,-0.1462,0.0023,0.1484,-0.1459,0.002,0.1479,1.0,0.625,0.625,3.081,3.092,True
CD015328,27,difference,-0.1081,0.0307,-1.2319,1.0157,2.2476,-0.4834,0.2672,0.7507,-0.4897,0.2735,0.7632,1.0,0.778,0.778,2.994,2.945,True
CD015330,11,difference,0.0301,0,-0.6162,0.6765,1.2927,-0.0899,0.1501,0.24,-0.0785,0.1388,0.2174,0.909,0.455,0.455,5.386,5.947,True
CD015331,48,ratio,-0.168,0,-1.2685,0.9326,2.201,-0.2803,-0.0556,0.2247,-0.2777,-0.0582,0.2195,0.896,0.167,0.167,9.796,10.026,True
CD015332,5,ratio,-0.2039,0,-1.3031,0.8953,2.1984,-0.7359,0.3282,1.0641,-0.3732,-0.0346,0.3386,1.0,1.0,0.2,2.066,6.492,True
CD015350,9,ratio,-0.3511,0.6689,-4.1192,3.4169,7.536,-2.4882,1.7859,4.2741,-2.4767,1.7744,4.2511,1.0,0.889,0.889,1.763,1.773,True
CD015373,5,ratio,0.2238,0.197,-2.0191,2.4667,4.4858,-2.1458,2.5933,4.7391,-1.8517,2.2992,4.1509,1.0,1.0,0.8,0.947,1.081,False
CD015383,5,difference,-8.4087,0,-14.7185,-2.0989,12.6196,-15.7414,-1.076,14.6654,-12.3407,-4.4766,7.8641,1.0,1.0,0.8,0.86,1.605,False
CD015387,21,ratio,-0.2345,0.0076,-1.2107,0.7418,1.9525,-0.4514,-0.0175,0.4339,-0.4487,-0.0202,0.4285,0.905,0.571,0.571,4.499,4.557,True
CD015432,8,ratio,-0.129,0.1459,-1.2995,1.0415,2.3411,-1.1626,0.9046,2.0672,-1.1763,0.9183,2.0945,0.75,0.75,0.75,1.133,1.118,True
CD015443,19,ratio,0.6762,0.2037,-2.1929,3.5454,5.7383,-0.3347,1.6872,2.0219,-0.3381,1.6906,2.0287,1.0,0.789,0.789,2.838,2.829,True
CD015448,7,difference,1.6006,2.8437,-52.4487,55.6499,108.0986,-3.7084,6.9097,10.6181,-3.3736,6.5749,9.9485,1.0,0.857,0.857,10.181,10.866,True
CD015476,15,ratio,0.1668,0.012,-0.1324,0.466,0.5984,-0.0842,0.4178,0.502,-0.0807,0.4143,0.495,1.0,0.933,0.933,1.192,1.209,True
CD015518,12,difference,-0.3902,0.1556,-3.5402,2.7599,6.3,-1.3174,0.5371,1.8544,-1.3016,0.5213,1.8229,1.0,0.917,0.917,3.397,3.456,True
CD015520,5,difference,-0.257,0,-0.6545,0.1404,0.795,-0.5207,0.0066,0.5272,-0.4169,-0.0972,0.3197,1.0,1.0,0.8,1.508,2.486,True
CD015532,11,ratio,-0.0078,0.1123,-1.0062,0.9906,1.9969,-0.8358,0.8202,1.6559,-0.8275,0.8118,1.6393,0.909,0.909,0.909,1.206,1.218,True
CD015536,10,ratio,-0.4173,0.4929,-2.4327,1.5981,4.0308,-2.2295,1.3949,3.6244,-2.189,1.3544,3.5434,0.9,0.9,0.9,1.112,1.138,True
CD015584,13,ratio,0.0115,0.0006,-0.1162,0.1391,0.2553,-0.049,0.0719,0.1209,-0.0504,0.0733,0.1237,0.923,0.692,0.692,2.112,2.064,True
CD015588,16,ratio,-0.1581,0.0065,-1.4914,1.1752,2.6666,-0.359,0.0428,0.4019,-0.3569,0.0407,0.3976,0.938,0.5,0.5,6.636,6.707,True
CD015636,5,ratio,-1.4275,0,-1.9595,-0.8956,1.0639,-1.8776,-0.9775,0.9001,-1.75,-1.105,0.645,1.0,1.0,0.8,1.182,1.65,True
CD015673,14,ratio,-0.1174,0,-0.6866,0.4517,1.1383,-0.2548,0.0199,0.2746,-0.2267,-0.0082,0.2185,0.786,0.571,0.286,4.144,5.21,True
CD015721,6,ratio,0.0161,0.0019,-0.2533,0.2854,0.5387,-0.1367,0.1689,0.3056,-0.1242,0.1564,0.2806,1.0,0.833,0.833,1.763,1.919,True
CD015746,6,ratio,-1.6091,0.191,-3.3784,0.1602,3.5386,-2.9841,-0.2341,2.75,-2.8913,-0.3269,2.5644,1.0,0.833,0.833,1.287,1.38,True
CD015779,6,ratio,-0.9324,0,-2.087,0.2223,2.3093,-1.7298,-0.1349,1.5949,-1.4082,-0.4565,0.9517,0.833,0.5,0.5,1.448,2.426,True
CD015786,10,ratio,-1.3609,0,-3.9875,1.2657,5.2532,-2.4291,-0.2927,2.1364,-2.005,-0.7169,1.2881,1.0,0.9,0.8,2.459,4.078,True
CD015788,8,ratio,0.1667,0.0294,-0.3097,0.6432,0.9529,-0.294,0.6274,0.9215,-0.2791,0.6125,0.8917,1.0,1.0,1.0,1.034,1.069,True
CD015804,8,ratio,-0.0293,0.0003,-0.2466,0.188,0.4346,-0.1137,0.0551,0.1688,-0.1115,0.0529,0.1644,0.75,0.625,0.625,2.574,2.644,True
CD015824,5,ratio,-0.6349,0,-1.2504,-0.0193,1.231,-1.0436,-0.2261,0.8174,-0.9215,-0.3482,0.5734,0.8,0.6,0.4,1.506,2.147,True
CD015849,7,ratio,-0.164,0.0071,-3.2677,2.9398,6.2075,-0.4474,0.1194,0.5668,-0.4254,0.0975,0.5229,1.0,0.857,0.857,10.951,11.871,True
CD015854,5,ratio,-0.8275,0,-2.6076,0.9527,3.5604,-2.7169,1.062,3.7788,-1.9959,0.341,2.3369,1.0,1.0,0.8,0.942,1.524,False
CD015894,7,difference,-0.5632,0.1048,-1.5018,0.3753,1.8771,-1.4883,0.3619,1.8502,-1.4406,0.3142,1.7548,1.0,1.0,1.0,1.015,1.07,True
CD015932,10,ratio,-0.2841,0.0471,-0.8611,0.2929,1.154,-0.8196,0.2515,1.0711,-0.8333,0.2651,1.0984,0.7,0.7,0.7,1.077,1.051,True
CD016031,28,ratio,-0.2507,0,-5.5229,5.0215,10.5444,-0.6993,0.1979,0.8972,-0.6973,0.1959,0.8932,1.0,0.214,0.214,11.752,11.805,True
CD016064,5,ratio,0.2913,0,-1.9104,2.4931,4.4035,-0.6631,1.2457,1.9088,-0.4479,1.0306,1.4785,1.0,0.6,0.6,2.307,2.978,True
CD016119,16,ratio,0.2936,0.0973,-2.2595,2.8466,5.1061,-0.4455,1.0327,1.4782,-0.4273,1.0144,1.4417,1.0,0.75,0.75,3.454,3.542,True
CD016131,5,ratio,-0.3029,0,-0.6959,0.0901,0.786,-0.8138,0.2079,1.0217,-0.5706,-0.0353,0.5354,0.8,1.0,0.6,0.769,1.468,False
CD016136,30,difference,0.9477,0.296,-0.8024,2.6977,3.5001,-0.1948,2.0901,2.2849,-0.2024,2.0977,2.3001,0.967,0.833,0.833,1.532,1.522,True
CD016211,5,ratio,-0.4165,0,-1.8369,1.004,2.8409,-0.6797,-0.1533,0.5264,-0.5434,-0.2896,0.2538,1.0,0.8,0.6,5.397,11.194,True
